,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10742,10742,2012-12-09,2012,14,False,Minnesota Vikings,21.0,14.0,Chicago Bears,CHI,"(-1.5, 0)","(40.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10764,10764,2012-12-16,2012,15,False,St. Louis Rams,22.0,36.0,Minnesota Vikings,LAR,"(-2.5, 0)","(39.5, 0)",Edward Jones Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10773,10773,2012-12-23,2012,16,False,Houston Texans,6.0,23.0,Minnesota Vikings,HOU,"(-7.5, 0)","(43.5, 0)",Reliant Stadium,False,75.0,"(12.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
10788,10788,2012-12-30,2012,17,False,Minnesota Vikings,37.0,34.0,Green Bay Packers,GB,"(-3.0, 0)","(46.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10798,10798,2013-01-05,2012,Wildcard,True,Green Bay Packers,24.0,10.0,Minnesota Vikings,GB,"(-11.0, 0)","(44.5, 0)",Lambeau Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10815,10815,2013-09-08,2013,1,False,Detroit Lions,34.0,24.0,Minnesota Vikings,DET,"(-4.5, 0)","(47.5, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10830,10830,2013-09-15,2013,2,False,Chicago Bears,31.0,30.0,Minnesota Vikings,CHI,"(-6.5, 0)","(42.0, 0)",Soldier Field,False,62.0,"(6.0, 0)","(76.0, 0)","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
10847,10847,2013-09-22,2013,3,False,Minnesota Vikings,27.0,31.0,Cleveland Browns,MIN,"(-7.0, 0)","(40.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10866,10866,2013-09-29,2013,4,False,Minnesota Vikings,34.0,27.0,Pittsburgh Steelers,PIT,"(-3.0, 0)","(41.5, 0)",Wembley Stadium,True,54.0,"(11.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10894,10894,2013-10-13,2013,6,False,Minnesota Vikings,10.0,35.0,Carolina Panthers,MIN,"(-2.5, 0)","(44.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10915,10915,2013-10-21,2013,7,False,New York Giants,23.0,7.0,Minnesota Vikings,NYG,"(-3.5, 0)","(47.0, 0)",MetLife Stadium,False,57.0,"(7.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10923,10923,2013-10-27,2013,8,False,Minnesota Vikings,31.0,44.0,Green Bay Packers,GB,"(-7.5, 0)","(47.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10933,10933,2013-11-03,2013,9,False,Dallas Cowboys,27.0,23.0,Minnesota Vikings,DAL,"(-8.5, 0)","(50.5, 0)",Cowboys Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10942,10942,2013-11-07,2013,10,False,Minnesota Vikings,34.0,27.0,Washington Redskins,WAS,"(-1.0, 0)","(48.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10968,10968,2013-11-17,2013,11,False,Seattle Seahawks,41.0,20.0,Minnesota Vikings,SEA,"(-13.0, 0)","(45.0, 0)",CenturyLink Field,False,50.0,"(5.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10976,10976,2013-11-24,2013,12,False,Green Bay Packers,26.0,26.0,Minnesota Vikings,GB,"(-5.5, 0)","(44.5, 0)",Lambeau Field,False,20.0,"(10.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10994,10994,2013-12-01,2013,13,False,Minnesota Vikings,23.0,20.0,Chicago Bears,MIN,"(-1.0, 0)","(50.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11003,11003,2013-12-08,2013,14,False,Baltimore Ravens,29.0,26.0,Minnesota Vikings,BAL,"(-6.0, 0)","(41.5, 0)",M&T Bank Stadium,False,33.0,"(7.0, 0)","(67.0, 0)","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
11025,11025,2013-12-15,2013,15,False,Minnesota Vikings,48.0,30.0,Philadelphia Eagles,PHI,"(-7.0, 0)","(53.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11036,11036,2013-12-22,2013,16,False,Cincinnati Bengals,42.0,14.0,Minnesota Vikings,CIN,"(-7.5, 0)","(47.5, 0)",Paul Brown Stadium,False,53.0,"(13.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
