,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
4072,4072,1986-09-21,1986,3,False,Indianapolis Colts,7.0,24.0,Los Angeles Rams,LAR,"(-7.5, 0)","(40.0, 0)",RCA Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4092,4092,1986-09-28,1986,4,False,Philadelphia Eagles,34.0,20.0,Los Angeles Rams,LAR,"(-6.0, 0)","(37.0, 0)",Veterans Stadium,False,63.0,"(18.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4102,4102,1986-10-05,1986,5,False,Los Angeles Rams,26.0,20.0,Tampa Bay Buccaneers,LAR,"(-11.0, 0)","(37.5, 0)",Anaheim Stadium,False,75.0,"(9.0, 0)","(30.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4110,4110,1986-10-12,1986,6,False,Atlanta Falcons,26.0,14.0,Los Angeles Rams,PICK,"(0.0, 0)","(40.0, 0)",Atlanta-Fulton County Stadium,False,56.0,"(14.0, 0)","(99.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4129,4129,1986-10-19,1986,7,False,Los Angeles Rams,14.0,10.0,Detroit Lions,LAR,"(-7.0, 0)","(37.5, 0)",Anaheim Stadium,False,63.0,"(9.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4146,4146,1986-10-26,1986,8,False,Los Angeles Rams,14.0,7.0,Atlanta Falcons,LAR,"(-3.0, 0)","(38.0, 0)",Anaheim Stadium,False,68.0,"(7.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4165,4165,1986-11-03,1986,9,False,Chicago Bears,17.0,20.0,Los Angeles Rams,CHI,"(-8.0, 0)","(35.0, 0)",Soldier Field,False,36.0,"(11.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4175,4175,1986-11-09,1986,10,False,New Orleans Saints,6.0,0.0,Los Angeles Rams,LAR,"(-2.5, 0)","(36.5, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4186,4186,1986-11-16,1986,11,False,Los Angeles Rams,28.0,30.0,New England Patriots,NE,"(-2.5, 0)","(37.5, 0)",Anaheim Stadium,False,66.0,"(6.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4199,4199,1986-11-23,1986,12,False,Los Angeles Rams,26.0,13.0,New Orleans Saints,LAR,"(-6.5, 0)","(37.5, 0)",Anaheim Stadium,False,67.0,"(14.0, 0)","(30.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4219,4219,1986-11-30,1986,13,False,New York Jets,3.0,17.0,Los Angeles Rams,NYJ,"(-2.0, 0)","(41.0, 0)",Giants Stadium,False,43.0,"(15.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4227,4227,1986-12-07,1986,14,False,Los Angeles Rams,29.0,10.0,Dallas Cowboys,LAR,"(-5.0, 0)","(39.0, 0)",Anaheim Stadium,False,57.0,"(8.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4244,4244,1986-12-14,1986,15,False,Los Angeles Rams,31.0,37.0,Miami Dolphins,LAR,"(-6.5, 0)","(44.0, 0)",Anaheim Stadium,False,56.0,"(6.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4250,4250,1986-12-19,1986,16,False,San Francisco 49ers,24.0,14.0,Los Angeles Rams,SF,"(-4.5, 0)","(40.0, 0)",Candlestick Park,False,50.0,"(10.0, 0)","(89.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4265,4265,1986-12-28,1986,Wildcard,True,Washington Redskins,19.0,7.0,Los Angeles Rams,WAS,"(-4.5, 0)","(40.0, 0)",RFK Memorial Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4276,4276,1987-09-13,1987,1,False,Houston Oilers,20.0,16.0,Los Angeles Rams,LAR,"(-5.0, 0)","(37.0, 0)",Houston Astrodome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4295,4295,1987-09-20,1987,2,False,Los Angeles Rams,16.0,21.0,Minnesota Vikings,LAR,"(-4.5, 0)","(41.5, 0)",Anaheim Stadium,False,66.0,"(8.0, 0)","(87.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4313,4313,1987-10-26,1987,7,False,Cleveland Browns,30.0,17.0,Los Angeles Rams,CLE,"(-5.5, 0)","(42.0, 0)",Cleveland Municipal Stadium,False,40.0,"(7.0, 0)","(67.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4321,4321,1987-11-01,1987,8,False,Los Angeles Rams,10.0,31.0,San Francisco 49ers,SF,"(-4.5, 0)","(41.5, 0)",Anaheim Stadium,False,64.0,"(8.0, 0)","(91.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4336,4336,1987-11-08,1987,9,False,Los Angeles Rams,14.0,31.0,New Orleans Saints,NO,"(-3.5, 0)","(40.0, 0)",Anaheim Stadium,False,61.0,"(7.0, 0)","(87.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4354,4354,1987-11-15,1987,10,False,St. Louis Cardinals,24.0,27.0,Los Angeles Rams,ARI,"(-5.0, 0)","(42.0, 0)",Busch Memorial Stadium,False,55.0,"(16.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4370,4370,1987-11-23,1987,11,False,Washington Redskins,26.0,30.0,Los Angeles Rams,WAS,"(-10.0, 0)","(41.0, 0)",RFK Memorial Stadium,False,38.0,"(8.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4377,4377,1987-11-29,1987,12,False,Los Angeles Rams,35.0,3.0,Tampa Bay Buccaneers,LAR,"(-4.5, 0)","(43.0, 0)",Anaheim Stadium,False,56.0,"(9.0, 0)","(68.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4389,4389,1987-12-06,1987,13,False,Detroit Lions,16.0,37.0,Los Angeles Rams,LAR,"(-3.5, 0)","(44.0, 0)",Pontiac Silverdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4403,4403,1987-12-13,1987,14,False,Los Angeles Rams,33.0,0.0,Atlanta Falcons,LAR,"(-10.0, 0)","(41.5, 0)",Anaheim Stadium,False,54.0,"(17.0, 0)","(16.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4426,4426,1987-12-21,1987,15,False,Los Angeles Rams,21.0,29.0,Dallas Cowboys,LAR,"(-7.0, 0)","(44.0, 0)",Anaheim Stadium,False,54.0,"(8.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4439,4439,1987-12-27,1987,16,False,San Francisco 49ers,48.0,0.0,Los Angeles Rams,SF,"(-9.5, 0)","(43.0, 0)",Candlestick Park,False,47.0,"(7.0, 0)","(75.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4455,4455,1988-09-04,1988,1,False,Green Bay Packers,7.0,34.0,Los Angeles Rams,LAR,"(-3.0, 0)","(43.0, 0)",Lambeau Field,False,62.0,"(15.0, 0)","(91.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4471,4471,1988-09-11,1988,2,False,Los Angeles Rams,17.0,10.0,Detroit Lions,LAR,"(-10.0, 0)","(43.0, 0)",Anaheim Stadium,False,64.0,"(9.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4482,4482,1988-09-18,1988,3,False,Los Angeles Raiders,17.0,22.0,Los Angeles Rams,LAR,"(-1.0, 0)","(41.0, 0)",Los Angeles Memorial Coliseum,False,65.0,"(8.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4502,4502,1988-09-25,1988,4,False,New York Giants,31.0,45.0,Los Angeles Rams,NYG,"(-3.5, 0)","(39.0, 0)",Giants Stadium,False,64.0,"(11.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4509,4509,1988-10-02,1988,5,False,Los Angeles Rams,27.0,41.0,Phoenix Cardinals,LAR,"(-7.5, 0)","(42.0, 0)",Anaheim Stadium,False,64.0,"(10.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4520,4520,1988-10-09,1988,6,False,Atlanta Falcons,0.0,33.0,Los Angeles Rams,LAR,"(-6.5, 0)","(44.0, 0)",Atlanta-Fulton County Stadium,False,56.0,"(6.0, 0)","(55.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4539,4539,1988-10-16,1988,7,False,Los Angeles Rams,21.0,24.0,San Francisco 49ers,PICK,"(0.0, 0)","(43.0, 0)",Anaheim Stadium,False,66.0,"(6.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4553,4553,1988-10-23,1988,8,False,Los Angeles Rams,31.0,10.0,Seattle Seahawks,LAR,"(-4.5, 0)","(41.0, 0)",Anaheim Stadium,False,64.0,"(6.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4569,4569,1988-10-30,1988,9,False,New Orleans Saints,10.0,12.0,Los Angeles Rams,NO,"(-2.0, 0)","(41.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4584,4584,1988-11-06,1988,10,False,Philadelphia Eagles,30.0,24.0,Los Angeles Rams,LAR,"(-1.0, 0)","(43.0, 0)",Veterans Stadium,False,58.0,"(16.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4596,4596,1988-11-13,1988,11,False,Los Angeles Rams,10.0,14.0,New Orleans Saints,LAR,"(-3.5, 0)","(42.0, 0)",Anaheim Stadium,False,61.0,"(6.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4611,4611,1988-11-20,1988,12,False,Los Angeles Rams,24.0,38.0,San Diego Chargers,LAR,"(-11.0, 0)","(38.0, 0)",Anaheim Stadium,False,55.0,"(6.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4623,4623,1988-11-27,1988,13,False,Denver Broncos,35.0,24.0,Los Angeles Rams,PICK,"(0.0, 0)","(39.0, 0)",Mile High Stadium,False,23.0,"(8.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4645,4645,1988-12-05,1988,14,False,Los Angeles Rams,23.0,3.0,Chicago Bears,LAR,"(-2.5, 0)","(37.0, 0)",Anaheim Stadium,False,64.0,"(7.0, 0)","(35.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4652,4652,1988-12-11,1988,15,False,Los Angeles Rams,22.0,7.0,Atlanta Falcons,LAR,"(-8.0, 0)","(39.0, 0)",Anaheim Stadium,False,58.0,"(6.0, 0)","(50.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
