,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11473,11473,2015-11-08,2015,9,False,Tampa Bay Buccaneers,18.0,32.0,New York Giants,NYG,"(-2.0, 0)","(49.0, 0)",Raymond James Stadium,False,77.0,"(1.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11479,11479,2015-11-15,2015,10,False,New York Giants,26.0,27.0,New England Patriots,NE,"(-7.0, 0)","(52.5, 0)",MetLife Stadium,False,54.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11517,11517,2015-11-29,2015,12,False,Washington Redskins,20.0,14.0,New York Giants,NYG,"(-1.5, 0)","(48.0, 0)",FedEx Field,False,46.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11527,11527,2015-12-06,2015,13,False,New York Giants,20.0,23.0,New York Jets,NYJ,"(-2.5, 0)","(46.0, 0)",MetLife Stadium,False,52.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11550,11550,2015-12-14,2015,14,False,Miami Dolphins,24.0,31.0,New York Giants,NYG,"(-2.0, 0)","(48.0, 0)",Sun Life Stadium,False,75.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11558,11558,2015-12-20,2015,15,False,New York Giants,35.0,38.0,Carolina Panthers,CAR,"(-5.0, 0)","(46.5, 0)",MetLife Stadium,False,41.0,"(4.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11576,11576,2015-12-27,2015,16,False,Minnesota Vikings,49.0,17.0,New York Giants,MIN,"(-7.0, 0)","(44.5, 0)",TCF Bank Stadium,False,12.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11597,11597,2016-01-03,2015,17,False,New York Giants,30.0,35.0,Philadelphia Eagles,NYG,"(-3.5, 0)","(51.0, 0)",MetLife Stadium,False,44.0,"(10.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11614,11614,2016-09-11,2016,1,False,Dallas Cowboys,19.0,20.0,New York Giants,NYG,"(-1.0, 0)","(47.5, 0)",Cowboys Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11636,11636,2016-09-18,2016,2,False,New York Giants,16.0,13.0,New Orleans Saints,NYG,"(-4.0, 0)","(54.5, 0)",MetLife Stadium,False,79.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11652,11652,2016-09-25,2016,3,False,New York Giants,27.0,29.0,Washington Redskins,NYG,"(-3.5, 0)","(47.0, 0)",MetLife Stadium,False,67.0,"(4.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11672,11672,2016-10-03,2016,4,False,Minnesota Vikings,24.0,10.0,New York Giants,MIN,"(-3.5, 0)","(42.5, 0)",U.S. Bank Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11679,11679,2016-10-09,2016,5,False,Green Bay Packers,23.0,16.0,New York Giants,GB,"(-7.0, 0)","(49.0, 0)",Lambeau Field,False,48.0,"(2.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11696,11696,2016-10-16,2016,6,False,New York Giants,27.0,23.0,Baltimore Ravens,NYG,"(-3.5, 0)","(42.5, 0)",MetLife Stadium,False,66.0,"(6.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11709,11709,2016-10-23,2016,7,False,Los Angeles Rams,10.0,17.0,New York Giants,NYG,"(-2.5, 0)","(44.5, 0)",Twickenham Stadium,True,54.0,"(10.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11738,11738,2016-11-06,2016,9,False,New York Giants,28.0,23.0,Philadelphia Eagles,NYG,"(-3.0, 0)","(42.5, 0)",MetLife Stadium,False,57.0,"(8.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11756,11756,2016-11-14,2016,10,False,New York Giants,21.0,20.0,Cincinnati Bengals,PICK,"(0.0, 0)","(49.5, 0)",MetLife Stadium,False,54.0,"(1.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11766,11766,2016-11-20,2016,11,False,New York Giants,22.0,16.0,Chicago Bears,NYG,"(-7.0, 0)","(41.5, 0)",MetLife Stadium,False,40.0,"(12.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11778,11778,2016-11-27,2016,12,False,Cleveland Browns,13.0,27.0,New York Giants,NYG,"(-6.5, 0)","(46.5, 0)",FirstEnergy Stadium,False,46.0,"(10.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11798,11798,2016-12-04,2016,13,False,Pittsburgh Steelers,24.0,14.0,New York Giants,PIT,"(-6.5, 0)","(49.5, 0)",Heinz Field,False,40.0,"(2.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11812,11812,2016-12-11,2016,14,False,New York Giants,10.0,7.0,Dallas Cowboys,DAL,"(-3.5, 0)","(47.0, 0)",MetLife Stadium,False,30.0,"(2.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11831,11831,2016-12-18,2016,15,False,New York Giants,17.0,6.0,Detroit Lions,NYG,"(-4.0, 0)","(42.5, 0)",MetLife Stadium,False,48.0,"(4.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11834,11834,2016-12-22,2016,16,False,Philadelphia Eagles,24.0,19.0,New York Giants,PHI,"(-1.5, 0)","(42.5, 0)",Lincoln Financial Field,False,41.0,"(8.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11865,11865,2017-01-01,2016,17,False,Washington Redskins,10.0,19.0,New York Giants,WAS,"(-9.0, 0)","(47.5, 0)",FedEx Field,False,52.0,"(1.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11868,11868,2017-01-08,2016,WildCard,True,Green Bay Packers,38.0,13.0,New York Giants,GB,"(-5.0, 0)","(46.5, 0)",Lambeau Field,False,14.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
