,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
2364,2364,1978-10-15,1978,7,False,St. Louis Cardinals,21.0,24.0,Dallas Cowboys,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,48.0,"(11.0, 0)","(67.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2375,2375,1978-10-22,1978,8,False,New York Jets,23.0,10.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Shea Stadium,False,61.0,"(11.0, 0)","(55.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2389,2389,1978-10-29,1978,9,False,Philadelphia Eagles,10.0,16.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Veterans Stadium,False,52.0,"(8.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2406,2406,1978-11-05,1978,10,False,St. Louis Cardinals,20.0,10.0,New York Giants,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,69.0,"(9.0, 0)","(55.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2418,2418,1978-11-12,1978,11,False,San Francisco 49ers,10.0,16.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Candlestick Park,False,49.0,"(13.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2434,2434,1978-11-19,1978,12,False,Washington Redskins,17.0,27.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,50.0,"(11.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2448,2448,1978-11-26,1978,13,False,St. Louis Cardinals,10.0,14.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,43.0,"(15.0, 0)","(10.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2460,2460,1978-12-03,1978,14,False,St. Louis Cardinals,21.0,14.0,Detroit Lions,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,45.0,"(16.0, 0)","(97.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2473,2473,1978-12-10,1978,15,False,New York Giants,17.0,0.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Giants Stadium,False,30.0,"(20.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2489,2489,1978-12-17,1978,16,False,St. Louis Cardinals,42.0,21.0,Atlanta Falcons,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,34.0,"(11.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
